code,name,symbol,region,country,decimal_precision,enabled,data_provider,provider_symbol,provider_base,provider_quote,last_updated
RON,Romanian Leu,RON,Global FX,ROMANIA,2,true,Yahoo,RON=X,USD,RON,2026-08-22
RSD,Serbian Dinar,RSD,Global FX,SERBIA,2,true,Yahoo,RSD=X,USD,RSD,2026-08-22
RUB,Russian Ruble,RUB,Global FX,RUSSIAN FEDERATION (THE),2,true,Yahoo,RUB=X,USD,RUB,2026-08-22
RWF,Rwanda Franc,RWF,Global FX,RWANDA,0,true,Yahoo,RWF=X,USD,RWF,2026-08-22
SBD,Solomon Islands Dollar,SBD,Global FX,SOLOMON ISLANDS,2,false,,,,,2026-08-22
SCR,Seychelles Rupee,SCR,Global FX,SEYCHELLES,2,true,Yahoo,SCR=X,USD,SCR,2026-08-22
SDG,Sudanese Pound,SDG,Global FX,SUDAN (THE),2,true,Yahoo,SDG=X,USD,SDG,2026-08-22
SHP,Saint Helena Pound,SHP,Global FX,"SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA",2,false,,,,,2026-08-22
SLE,Leone,SLE,Global FX,SIERRA LEONE,2,false,,,,,2026-08-22
SOS,Somali Shilling,SOS,Global FX,SOMALIA,2,true,Yahoo,SOS=X,USD,SOS,2026-08-22
SRD,Surinam Dollar,SRD,Global FX,SURINAME,2,false,,,,,2026-08-22
SSP,South Sudanese Pound,SSP,Global FX,SOUTH SUDAN,2,false,,,,,2026-08-22
STN,Dobra,STN,Global FX,SAO TOME AND PRINCIPE,2,false,,,,,2026-08-22
SVC,El Salvador Colon,SVC,Global FX,EL SALVADOR,2,true,Yahoo,SVC=X,USD,SVC,2026-08-22
SYP,Syrian Pound,SYP,Global FX,SYRIAN ARAB REPUBLIC,2,false,,,,,2026-08-22
SZL,Lilangeni,SZL,Global FX,ESWATINI,2,true,Yahoo,SZL=X,USD,SZL,2026-08-22
THB,Baht,THB,Global FX,THAILAND,2,true,Yahoo,THB=X,USD,THB,2026-08-22
TJS,Somoni,TJS,Global FX,TAJIKISTAN,2,false,,,,,2026-08-22
TMT,Turkmenistan New Manat,TMT,Global FX,TURKMENISTAN,2,true,Yahoo,TMT=X,USD,TMT,2026-08-22
TND,Tunisian Dinar,TND,Global FX,TUNISIA,3,true,Yahoo,TND=X,USD,TND,2026-08-22
TOP,Pa’anga,TOP,Global FX,TONGA,2,false,,,,,2026-08-22
TTD,Trinidad and Tobago Dollar,TTD,Global FX,TRINIDAD AND TOBAGO,2,true,Yahoo,TTD=X,USD,TTD,2026-08-22
TWD,New Taiwan Dollar,TWD,Global FX,TAIWAN (PROVINCE OF CHINA),2,true,Yahoo,TWD=X,USD,TWD,2026-08-22
TZS,Tanzanian Shilling,TZS,Global FX,"TANZANIA, UNITED REPUBLIC OF",2,true,Yahoo,TZS=X,USD,TZS,2026-08-22
UAH,Hryvnia,UAH,Global FX,UKRAINE,2,true,Yahoo,UAH=X,USD,UAH,2026-08-22
UGX,Uganda Shilling,UGX,Global FX,UGANDA,0,true,Yahoo,UGX=X,USD,UGX,2026-08-22
UZS,Uzbekistan Sum,UZS,Global FX,UZBEKISTAN,2,true,Yahoo,UZS=X,USD,UZS,2026-08-22
VED,Bolívar Soberano,VED,Global FX,VENEZUELA (BOLIVARIAN REPUBLIC OF),2,false,,,,,2026-08-22
VES,Bolívar Soberano,VES,Global FX,VENEZUELA (BOLIVARIAN REPUBLIC OF),2,true,Yahoo,VES=X,USD,VES,2026-08-22
VND,Dong,VND,Global FX,VIET NAM,0,true,Yahoo,VND=X,USD,VND,2026-08-22
VUV,Vatu,VUV,Global FX,VANUATU,0,false,,,,,2026-08-22
WST,Tala,WST,Global FX,SAMOA,2,false,,,,,2026-08-22
XAF,CFA Franc BEAC,XAF,Global FX,CAMEROON; CENTRAL AFRICAN REPUBLIC (THE); CHAD; CONGO (THE); EQUATORIAL GUINEA; GABON,0,true,Yahoo,XAF=X,USD,XAF,2026-08-22
XCD,East Caribbean Dollar,XCD,Global FX,ANGUILLA; ANTIGUA AND BARBUDA; DOMINICA; GRENADA; MONTSERRAT; SAINT KITTS AND NEVIS; SAINT LUCIA; SAINT VINCENT AND THE GRENADINES,2,true,Yahoo,XCD=X,USD,XCD,2026-08-22
XCG,Caribbean Guilder,XCG,Global FX,CURAÇAO; SINT MAARTEN (DUTCH PART),2,false,,,,,2026-08-22
XOF,CFA Franc BCEAO,XOF,Global FX,BENIN; BURKINA FASO; CÔTE D'IVOIRE; GUINEA-BISSAU; MALI; NIGER (THE); SENEGAL; TOGO,0,true,Yahoo,XOF=X,USD,XOF,2026-08-22
XPF,CFP Franc,XPF,Global FX,FRENCH POLYNESIA; NEW CALEDONIA; WALLIS AND FUTUNA,0,true,Yahoo,XPF=X,USD,XPF,2026-08-22
YER,Yemeni Rial,YER,Global FX,YEMEN,2,true,Yahoo,YER=X,USD,YER,2026-08-22
ZMW,Zambian Kwacha,ZMW,Global FX,ZAMBIA,2,true,Yahoo,ZMW=X,USD,ZMW,2026-08-22
ZWG,Zimbabwe Gold,ZWG,Global FX,ZIMBABWE,2,false,,,,,2026-08-22
